L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 4 2 2 0 10000000 200 400 800 0.0 0.0 0.0 2 0.221494 0.219352 0.219507 0.221494 0.223363 0.223803
0 8 4 2 2 10000000 200 400 800 0.0 0.0 1.0 0 2.505778 2.182509 2.295500 2.505778 2.613959 2.688280
0 16 2 2 0 100000000 200 400 400 0.0 1.0 0.0 1 32.621201 22.318170 28.305254 32.621201 32.625346 33.351753
0 4 2 2 0 100000000 400 800 800 0.0 1.0 0.0 1 4.058817 3.838414 3.978765 4.058817 4.123931 4.237392
0 16 4 2 2 100000000 200 400 400 0.0 1.0 1.0 1 48.931782 35.696804 45.324233 48.931782 48.933845 49.159275
0 16 8 4 2 25000000 200 400 400 0.0 1.0 0.0 2 0.855600 0.669488 0.742888 0.855600 0.955370 0.979830
0 16 4 2 2 100000000 200 400 400 0.0 1.0 0.0 1 48.931782 35.696804 45.324233 48.931782 48.933845 49.159275
0 16 8 2 0 100000000 200 400 400 0.0 1.0 0.0 1 57.088078 46.291429 55.536973 57.088078 57.088172 58.544317
0 16 8 4 2 25000000 200 400 400 0.0 1.0 1.0 2 0.868076 0.675871 0.742646 0.868076 0.954889 0.981113
0 16 8 4 2 50000000 200 400 400 0.0 0.0 1.0 0 28.438166 17.901421 23.714841 28.438166 30.477221 30.985993
0 16 8 4 2 50000000 200 400 400 0.0 0.0 0.0 0 28.460419 17.955992 23.325148 28.460419 30.457767 31.010131
0 16 2 2 0 10000000 200 400 800 0.0 1.0 0.0 2 0.263930 0.159838 0.161955 0.263930 0.448272 0.465883
0 16 4 2 2 50000000 200 400 800 0.0 1.0 1.0 1 24.470937 18.988384 23.445019 24.470937 24.471015 25.452649
0 16 4 2 2 50000000 200 400 800 0.0 1.0 0.0 1 24.470937 18.988384 23.445019 24.470937 24.471015 25.452649
0 16 8 2 0 10000000 200 400 800 0.0 0.0 0.0 0 5.655441 3.971145 4.872091 5.655441 6.072169 6.230194
0 16 4 2 2 25000000 200 400 400 0.0 0.0 1.0 0 12.720717 10.504546 11.663912 12.720717 13.393088 13.788523
0 16 4 2 2 25000000 200 400 400 0.0 0.0 0.0 0 12.684428 10.800320 11.847219 12.684428 13.114445 13.381090
0 16 4 2 2 50000000 200 400 400 0.0 1.0 0.0 2 2.467040 0.772608 1.852969 2.467040 2.542970 2.577275
0 16 2 2 0 10000000 200 400 400 0.0 1.0 0.0 1 3.267603 2.310342 3.058096 3.267603 3.298158 3.423474
0 16 4 2 2 50000000 200 400 400 0.0 1.0 1.0 2 2.467040 0.772608 1.852969 2.467040 2.542970 2.577275
0 4 2 2 2 50000000 400 800 800 0.0 1.0 0.0 2 0.551249 0.546867 0.549206 0.551249 0.553164 0.555628
0 8 4 2 0 50000000 400 800 800 0.0 1.0 0.0 0 6.501942 6.371906 6.418591 6.501942 6.590939 6.627570
0 4 2 2 2 50000000 400 800 800 0.0 1.0 1.0 2 0.551249 0.546867 0.549206 0.551249 0.553164 0.555628
0 8 4 2 0 25000000 400 800 800 0.0 0.0 0.0 2 0.383707 0.364935 0.369694 0.383707 0.396921 0.416647
0 4 2 2 2 25000000 400 800 800 0.0 0.0 1.0 0 1.100278 1.097921 1.098396 1.100278 1.102110 1.102435
0 4 2 2 2 25000000 400 800 800 0.0 0.0 0.0 0 1.100278 1.097921 1.098396 1.100278 1.102110 1.102435
0 16 8 2 2 50000000 400 800 800 0.0 1.0 1.0 0 15.397350 14.997783 15.237446 15.397350 15.482371 15.544881
0 8 2 2 0 100000000 200 400 800 0.0 1.0 0.0 0 16.662486 11.766679 13.368271 16.662486 21.089999 21.625009
0 8 2 2 0 50000000 200 400 400 0.0 0.0 0.0 0 8.371818 8.244765 8.293631 8.371818 9.157136 9.258156
0 8 4 2 2 100000000 200 400 800 0.0 1.0 1.0 0 26.087960 25.563819 25.859120 26.087960 26.414703 26.502890
0 4 2 2 0 10000000 200 400 400 0.0 0.0 0.0 1 0.821573 0.806698 0.814889 0.821573 0.835871 0.857770
0 8 4 2 2 100000000 200 400 800 0.0 1.0 0.0 0 26.087960 25.563819 25.859120 26.087960 26.414703 26.502890
0 16 8 2 2 50000000 400 800 800 0.0 1.0 0.0 0 15.397350 14.997783 15.237446 15.397350 15.482371 15.544881
0 16 8 4 0 100000000 200 400 400 0.0 1.0 0.0 1 57.088057 44.155011 54.040829 57.088057 57.088127 59.236857
0 16 8 2 2 25000000 400 800 800 0.0 0.0 0.0 2 0.454592 0.375822 0.407446 0.454592 0.480826 0.492130
0 16 8 2 2 25000000 400 800 800 0.0 0.0 1.0 2 0.450294 0.372738 0.402667 0.450294 0.479281 0.492096
0 8 2 2 0 25000000 200 400 400 0.0 1.0 0.0 2 0.556729 0.462565 0.529696 0.556729 0.565079 0.584233
